clusterID,Values,Size,DogIDs
cluster_6236, 74198612369; 74198612468; 74198612345; MISGB074198612369; 74198612352; 434273; 434272; TW2575; MISGB074198612352; 11952; ,13,megapet_105; bibita_156; mypetwarehouse_187; bibita_396; mypetwarehouse_188; miscota_332; mypetwarehouse_179; bigdogworld_024; megapet_104; miscota_331; bibita_118; mypetwarehouse_186; bibita_224; 
cluster_6199, 74198612208; 74198612192; 74198612215; 359584; 359585; MISGB74198612208; MISGB74198612192; MISGB074198612215; TW2562; 93429; ,12,bibita_386; mypetwarehouse_196; bibita_226; megapet_109; megapet_110; bigdogworld_029; miscota_002; mypetwarehouse_197; bibita_146; mypetwarehouse_195; miscota_001; miscota_003; 
cluster_6241, 3182550716888; 3182550835336; 3182550709972; 3182550727822; 359486; 133948; MISGB3182550835336; MISGB3182550727822; MISGB3182550716888; ,12,cheshirepetsupplies_082; bibita_220; miscota_295; mypetwarehouse_118; miscota_294; cheshirepetsupplies_046; bibita_390; bibita_144; mypetwarehouse_124; megapet_080; megapet_097; miscota_296; 
cluster_6210, 74198612505; 74198612512; 74198612499; MISGB074198612512; 62961; 434385; 434384; MISGB074198612505; TW2588; ,11,mypetwarehouse_189; miscota_045; miscota_044; bibita_222; megapet_108; bigdogworld_026; bibita_151; mypetwarehouse_191; bibita_391; megapet_107; mypetwarehouse_190; 
cluster_6203, 3182550821773; 3182550799775; 169; MISGB3182550821773; 461973; 39613; 461974; MISGB3182550799775; ,11,miscota_116; mypetwarehouse_087; bibita_053; cheshirepetsupplies_028; bibita_293; bibita_376; megapet_088; mypetwarehouse_071; miscota_239; bibita_136; mypetwarehouse_164; 
cluster_6242, 74198612697; 39519; ,10,mypetwarehouse_165; roguevalleypet_172; countrymax_108; petsense_079; concordpetfoods_053; petnutritioncenter_221; concordpetfoods_060; healthypetcenter_303; horseandhound_138; concordpetfoods_066; 
cluster_6240, 840243105243; BL105243; 495906030; 23853; ,10,concordpetfoods_121; petnutritioncenter_115; healthypetcenter_109; petsense_039; petfood_076; countrymax_032; horseandhound_008; dog_131; roguevalleypet_037; petsupplies_127; 
cluster_6171, 3182550715645; 3182550715614; 359494; 28; 1722120; MISGB3182550715645; MISGB3182550715614; ,10,cheshirepetsupplies_060; megapet_057; miscota_164; bigdogworld_009; megapet_058; mypetwarehouse_088; miscota_165; cheshirepetsupplies_061; bibita_268; bibita_028; 
cluster_6204, 74198612291; 74198612239; 359583; 93426; 11958; MISGB074198612239; TW2571; MISGB074198612291; ,10,bigdogworld_020; bibita_145; miscota_009; mypetwarehouse_175; megapet_101; mypetwarehouse_166; miscota_327; bibita_198; megapet_098; bibita_356; 
cluster_6237, 840243104871; 495909006; BL104871; ,9,countrymax_039; petfood_012; dog_016; petsupplies_050; roguevalleypet_041; horseandhound_010; speckspets_011; petnutritioncenter_119; healthypetcenter_113; 
cluster_6179, 3182550813020; 3182550730587; 359496; 117; MISGB3182550813020; 359497; ,8,miscota_343; cheshirepetsupplies_090; bibita_210; cheshirepetsupplies_091; mypetwarehouse_129; mypetwarehouse_162; bibita_135; bibita_375; 
cluster_6229, 723633420600; 236063; 493577014; 35651; ,8,concordpetfoods_132; dog_101; healthypetcenter_244; petsense_011; petsupplies_020; horseandhound_049; petfood_103; roguevalleypet_091; 
cluster_6215, 840243105700; BL105700; ,7,petnutritioncenter_121; dog_078; roguevalleypet_043; healthypetcenter_115; petfood_022; petsense_037; petsupplies_096; 
cluster_6208, 74198612659; ,7,petsense_035; roguevalleypet_173; healthypetcenter_304; mypetwarehouse_181; countrymax_115; petnutritioncenter_222; horseandhound_139; 
cluster_6190, 74198611010; 134638; ,7,roguevalleypet_179; petsense_024; horseandhound_145; petnutritioncenter_231; healthypetcenter_313; countrymax_117; hardwarestore_050; 
cluster_6209, 3182550716932; 461846; MISGB3182550716932; 3182550716826; 174; MISGB3182550716826; ,7,mypetwarehouse_130; megapet_086; cheshirepetsupplies_093; bibita_328; miscota_235; bibita_088; miscota_234; 
cluster_6099, 3182550779050; 313; 3182550793506; 492938; MISGB3182550779050; MISGB3182550793506; ,7,cheshirepetsupplies_085; miscota_147; bibita_364; mypetwarehouse_156; miscota_149; megapet_095; bibita_199; 
cluster_6180, 3182550773836; 3182550807074; 384191; 384192; ,7,megapet_071; cheshirepetsupplies_075; bibita_309; bibita_324; bibita_084; mypetwarehouse_107; bibita_069; 
cluster_6187, 840243105717; 44913; ,6,petsense_047; concordpetfoods_047; roguevalleypet_030; healthypetcenter_102; petnutritioncenter_035; countrymax_033; 
cluster_6178, 859610000074; ,6,countrymax_012; roguevalleypet_026; horseandhound_002; petsense_030; petnutritioncenter_106; healthypetcenter_098; 
cluster_6136, 74198611188; 30479; ,6,mypetwarehouse_185; petnutritioncenter_230; concordpetfoods_070; healthypetcenter_312; concordpetfoods_056; concordpetfoods_063; 
cluster_6177, 840243105304; 23852; ,6,speckspets_033; healthypetcenter_118; concordpetfoods_095; petnutritioncenter_124; countrymax_043; roguevalleypet_046; 
cluster_6167, 840243105250; ,6,petnutritioncenter_113; horseandhound_007; roguevalleypet_034; healthypetcenter_106; countrymax_025; petsense_040; 
cluster_6169, 3182550402224; 3182550702775; 3182550774581; MISGB3182550702775; MISGB3182550774581; 284; MISGB3182550402224; ,6,miscota_160; miscota_163; megapet_065; mypetwarehouse_095; cheshirepetsupplies_064; miscota_161; 
cluster_6170, 74198610778; 22402; ,6,mypetwarehouse_173; concordpetfoods_071; concordpetfoods_057; concordpetfoods_064; healthypetcenter_309; petnutritioncenter_227; 
cluster_6137, 30111452252; 31988; ,6,roguevalleypet_164; concordpetfoods_152; petsense_064; petnutritioncenter_216; horseandhound_129; countrymax_104; 
cluster_6183, 859610000333; ,6,roguevalleypet_028; countrymax_026; petnutritioncenter_108; petsense_042; healthypetcenter_100; horseandhound_004; 
cluster_6185, 74198610754; 22400; ,6,concordpetfoods_068; petnutritioncenter_233; concordpetfoods_062; healthypetcenter_315; concordpetfoods_055; mypetwarehouse_193; 
cluster_6165, 74198611379; ,6,countrymax_118; roguevalleypet_174; healthypetcenter_305; petnutritioncenter_223; horseandhound_140; petsense_068; 
cluster_6182, 3182550793728; 4395; 3182550793735; 3182550793636; MISGB3182550793728; 493028; ,6,bibita_228; bibita_405; bibita_381; bibita_165; miscota_075; cheshirepetsupplies_113; 
cluster_6111, 359674; 359675; 3182550853583; 3182550831086; 3182550853453; 3182550731386; ,6,bibita_348; bibita_335; bibita_234; bibita_095; bibita_192; bibita_108; 
cluster_6160, 74198609581; 135086; ,6,roguevalleypet_177; hardwarestore_048; healthypetcenter_310; petsense_002; horseandhound_143; petnutritioncenter_228; 
cluster_6188, 859610000012; ,6,petsense_038; healthypetcenter_110; countrymax_013; speckspets_006; roguevalleypet_038; petnutritioncenter_116; 
cluster_6176, 723633420358; NB420358; 406026; 36010; 2326282; ,6,petsupplies_002; concordpetfoods_146; petsense_025; petfood_030; dog_030; petco_065; 
cluster_6166, 840243105113; 21375; ,6,concordpetfoods_002; healthypetcenter_152; roguevalleypet_057; countrymax_053; petsense_034; petnutritioncenter_137; 
cluster_6186, 3182550811774; 359491; MISGB3182550811774; 153; ,6,cheshirepetsupplies_112; miscota_268; cheshirepetsupplies_111; bibita_380; mypetwarehouse_072; bibita_140; 
cluster_6142, 52742926902; 52742798905; 318; 555202; MISGB052742926902; MISGB052742798905; ,6,bibita_068; miscota_140; miscota_139; cheshirepetsupplies_012; cheshirepetsupplies_011; bibita_308; 
cluster_6184, 74198610761; 22401; ,6,mypetwarehouse_194; concordpetfoods_072; petnutritioncenter_224; concordpetfoods_065; concordpetfoods_059; healthypetcenter_306; 
cluster_6067, 74198613311; 74198613298; 553408; TW9060; ,6,bigdogworld_023; mypetwarehouse_180; megapet_103; bibita_343; megapet_102; bibita_103; 
cluster_6175, 840243105236; 24770; ,6,countrymax_028; healthypetcenter_105; petsense_041; roguevalleypet_033; concordpetfoods_003; petnutritioncenter_112; 
cluster_6106, 3182550711364; 3182550788304; 406601; MISGB3182550711364; 118; 565197; MISGB3182550788304; ,6,bibita_331; miscota_336; miscota_335; bibita_233; bibita_091; bibita_232; 
cluster_6159, 859610000289; ,6,roguevalleypet_027; petsense_043; countrymax_020; petnutritioncenter_107; healthypetcenter_099; horseandhound_003; 
cluster_5927, 3182550793032; 3182550792929; 3182550793001; MISGB3182550793032; 41; MISGB3182550793001; MISGB3182550792929; ,6,miscota_103; megapet_082; mypetwarehouse_159; miscota_104; miscota_102; cheshirepetsupplies_089; 
cluster_6181, 840243105267; ,6,countrymax_041; petsense_036; speckspets_032; healthypetcenter_117; roguevalleypet_045; petnutritioncenter_123; 
cluster_6113, 3182550402132; 3182550708180; 82; MISGB3182550402132; MISGB3182550708180; ,6,mypetwarehouse_113; miscota_016; mypetwarehouse_111; megapet_076; megapet_077; miscota_014; 
cluster_5677, 52742326900; 52742926308; 333; 359541; 317; MISGB052742326900; MISGB052742926308; ,6,cheshirepetsupplies_008; bibita_315; miscota_142; miscota_131; bibita_155; bibita_075; 
cluster_6100, 859610005673; ,5,healthypetcenter_160; speckspets_052; countrymax_056; roguevalleypet_063; petnutritioncenter_145; 
cluster_6102, 494588; 494587; 52742891903; 52742891804; 3182550755351; ,5,bibita_382; bibita_260; bibita_020; bibita_142; bibita_215; 
cluster_6062, 3182550402163; 3182550704670; 359471; ,5,bibita_036; bibita_258; bibita_018; bibita_276; bigdogworld_017; 
cluster_5800, 52742010892; MISGB052742010892; 52742010885; 635837; 114655; 470373; ,5,bibita_125; miscota_361; bibita_365; bibita_180; bibita_200; 
cluster_6008, 3182550402286; 359475; 11794; MISGB3182550402286; ,5,bibita_291; miscota_339; megapet_070; bibita_051; mypetwarehouse_104; 
cluster_6101, 30111519405; ,5,horseandhound_092; roguevalleypet_134; petsense_078; healthypetcenter_293; petnutritioncenter_204; 
cluster_5999, 840243105281; 24768; ,5,concordpetfoods_093; petsense_029; roguevalleypet_042; petnutritioncenter_120; healthypetcenter_114; 
cluster_6110, 30111454331; 31986; ,5,concordpetfoods_156; horseandhound_089; petnutritioncenter_202; roguevalleypet_131; countrymax_098; 
cluster_6047, 376503; 52742666204; 52742665405; ,5,bibita_022; bibita_261; bibita_021; bibita_262; bibita_120; 
cluster_6077, 840243105397; 495896011; BL105397; ,5,petnutritioncenter_002; dog_140; petsupplies_015; countrymax_003; petfood_073; 
cluster_5660, 3182550716857; 461971; 3182550716925; 70515; MISGB3182550716857; MISGB3182550716925; ,5,miscota_030; miscota_028; bibita_278; cheshirepetsupplies_114; cheshirepetsupplies_115; 
cluster_6080, 859610000425; 24763; ,5,petnutritioncenter_114; roguevalleypet_036; countrymax_031; healthypetcenter_108; concordpetfoods_116; 
cluster_6122, 30111451040; 28278; ,5,concordpetfoods_158; horseandhound_117; countrymax_101; petsense_060; roguevalleypet_153; 
cluster_6069, 840243105137; 495917024; BL105137; ,5,petsupplies_134; petfood_063; countrymax_052; speckspets_045; dog_105; 
cluster_6041, 3182550724159; 1703120; 359505; ,5,bigdogworld_002; megapet_052; bibita_272; mypetwarehouse_077; bibita_032; 
cluster_6049, 840243105335; ,5,healthypetcenter_147; roguevalleypet_055; petnutritioncenter_133; horseandhound_011; petsense_028; 
cluster_6059, 359498; 3182550715744; 3182550812016; 3182550717335; ,5,bibita_211; bibita_041; bibita_137; bibita_377; bibita_281; 
cluster_6074, 52742927008; 539649; 52742121109; 359536; 359537; ,5,bibita_111; bibita_351; bibita_070; cheshirepetsupplies_005; bibita_208; 
cluster_6068, 859610008810; 32374; ,5,speckspets_048; concordpetfoods_099; roguevalleypet_072; petnutritioncenter_046; healthypetcenter_180; 
cluster_6098, 3182550725514; 359507; 1723120; ,5,mypetwarehouse_089; megapet_059; bigdogworld_010; bibita_029; bibita_269; 
cluster_6052, 859610000135; ,5,petnutritioncenter_118; roguevalleypet_040; horseandhound_009; countrymax_037; healthypetcenter_112; 
cluster_6014, 30111519504; ,5,horseandhound_070; petnutritioncenter_188; countrymax_092; roguevalleypet_112; healthypetcenter_291; 
cluster_6055, 3182550751261; 1742120; 359504; ,5,mypetwarehouse_083; bibita_034; bibita_274; megapet_054; bigdogworld_007; 
cluster_5992, 74198611133; ,5,healthypetcenter_308; horseandhound_142; petnutritioncenter_226; petsense_013; roguevalleypet_176; 
cluster_6070, 3182550741668; 359473; 134005; MISGB3182550741668; ,5,megapet_074; bibita_056; mypetwarehouse_114; bibita_296; miscota_289; 
cluster_6072, 859610000364; ,5,countrymax_029; healthypetcenter_104; roguevalleypet_032; petnutritioncenter_111; horseandhound_006; 
cluster_6114, 840243105908; 495927CHK; BL104857; ,5,dog_087; healthypetcenter_199; petnutritioncenter_165; petsupplies_105; petfood_023; 
cluster_6115, 74198609628; ,5,horseandhound_141; roguevalleypet_175; healthypetcenter_307; petnutritioncenter_225; petsense_001; 
cluster_6034, 859610005703; 28106; 1419188; ,5,petco_011; petnutritioncenter_141; healthypetcenter_156; roguevalleypet_060; concordpetfoods_098; 
cluster_6005, 840243105144; 24765; ,5,petnutritioncenter_117; healthypetcenter_111; countrymax_036; concordpetfoods_091; roguevalleypet_039; 
cluster_6035, 30111451620; ,5,horseandhound_079; countrymax_095; petsense_066; roguevalleypet_121; petnutritioncenter_196; 
cluster_5989, 840243100835; 36485; ,5,healthypetcenter_076; petsense_048; petnutritioncenter_030; concordpetfoods_075; roguevalleypet_022; 
cluster_6120, 30111526830; 39856; ,5,roguevalleypet_133; horseandhound_091; concordpetfoods_006; healthypetcenter_292; petnutritioncenter_203; 
cluster_5998, 3182550736060; 461841; ,5,megapet_092; cheshirepetsupplies_096; bibita_045; bibita_285; mypetwarehouse_138; 
cluster_6104, 30111450630; ,5,horseandhound_074; petsense_063; countrymax_094; petnutritioncenter_192; roguevalleypet_116; 
cluster_5981, 859610000173; 495899030; 1055615; BL000173; ,5,petfood_059; petsupplies_034; dog_115; speckspets_010; petco_002; 
cluster_6105, 859610006830; BL006830; 1531492; ,5,petsupplies_095; countrymax_023; petfood_020; petco_018; dog_077; 
cluster_6116, 859610000029; ,5,roguevalleypet_031; horseandhound_005; countrymax_024; healthypetcenter_103; petnutritioncenter_110; 
cluster_6056, 30111454539; ,5,petnutritioncenter_214; petsense_054; horseandhound_127; healthypetcenter_298; roguevalleypet_162; 
cluster_6044, 840243105359; ,5,horseandhound_012; countrymax_055; healthypetcenter_158; petnutritioncenter_143; roguevalleypet_061; 
cluster_6020, 74198609697; ,5,healthypetcenter_316; petnutritioncenter_234; petsense_057; horseandhound_146; roguevalleypet_180; 
cluster_6029, 30111460257; ,5,roguevalleypet_109; horseandhound_067; healthypetcenter_288; petsense_062; petnutritioncenter_184; 
cluster_6103, 74198611164; ,5,healthypetcenter_311; petsense_046; petnutritioncenter_229; roguevalleypet_178; horseandhound_144; 
cluster_6048, 840243100026; 36444; ,5,concordpetfoods_081; roguevalleypet_003; petnutritioncenter_015; petsense_049; healthypetcenter_003; 
cluster_6066, 30111512529; 28183; ,5,petsense_056; horseandhound_111; horseandhound_112; concordpetfoods_052; roguevalleypet_149; 
cluster_6090, 723633420679; 45240; ,5,petsense_010; healthypetcenter_240; roguevalleypet_088; concordpetfoods_127; horseandhound_046; 
cluster_5966, 30111451521; ,5,roguevalleypet_163; horseandhound_128; countrymax_103; petsense_065; petnutritioncenter_215; 
cluster_5988, 30111511904; ,5,roguevalleypet_107; petnutritioncenter_182; horseandhound_065; healthypetcenter_286; petsense_055; 
cluster_6121, 840243117277; 40891; ,5,concordpetfoods_076; healthypetcenter_150; petnutritioncenter_135; countrymax_049; roguevalleypet_056; 
cluster_5773, 376502; 376501; 52742918105; 52742665504; 52742421506; ,5,bibita_197; bibita_115; bibita_360; bibita_195; bibita_355; 
cluster_5980, 723633278478; 44092; ,5,concordpetfoods_137; healthypetcenter_259; horseandhound_050; petsense_021; roguevalleypet_092; 
cluster_6004, 3182550813082; 22240; MISGB3182550813082; 493029; ,5,miscota_196; bibita_163; mypetwarehouse_135; megapet_089; bibita_403; 
cluster_6112, 3182550736046; 1728120; 204; 461961; MISGB3182550736046; ,5,bigdogworld_008; cheshirepetsupplies_056; bibita_050; miscota_206; bibita_290; 
cluster_6073, 3182550715744; 1702120; 47; MISGB3182550715744; ,5,miscota_063; mypetwarehouse_075; megapet_051; cheshirepetsupplies_049; bigdogworld_001; 
cluster_6071, 859610006731; 28395; ,5,healthypetcenter_068; petnutritioncenter_089; concordpetfoods_088; petsense_044; roguevalleypet_020; 
